--anneal-t-end-ratio,--anneal-t-start-ratio,bridges,courtyards,engine_overlaps,hpwl,note,seconds,shorts,valid,wall_seconds
0.001,0.005,1,0,0,36702.8,,0.934,1,False,4.8
0.001,0.01,0,0,0,36812.2,,0.939,0,True,4.8
0.001,0.02,0,0,0,36812.2,,0.953,0,True,4.8
0.001,0.05,0,0,0,36812.2,,0.964,0,True,4.8
0.0001,0.01,0,0,0,36812.2,,0.966,0,True,4.3
0.005,0.01,0,0,0,36812.2,,0.942,0,True,4.3
0.0001,0.005,2,0,0,36708.5,,0.948,1,False,4.3
0.005,0.05,0,0,0,36812.2,,1.009,0,True,4.4
